Port,TCP,UDP,SCTP,DCCP,Description,type
161,Assigned,Yes,,,Simple Network Management Protocol (SNMP)[74][citation needed][11],well_known
162,Yes,Yes,,,Simple Network Management Protocol Trap (SNMPTRAP)[74][75][citation needed],well_known
165,Assigned,Assigned,,,Xerox,well_known
169,Assigned,Assigned,,,SEND,well_known
170,Yes,Yes,,,Network PostScript print server,well_known
177,Yes,Yes,,,"X Display Manager Control Protocol (XDMCP), used for remote logins to an X Display Manager server[76][self-published source]",well_known
179,Yes,Assigned,Yes[12],,"Border Gateway Protocol (BGP),[77] used to exchange routing and reachability information among autonomous systems (AS) on the Internet",well_known
180,Assigned,Assigned,,,ris,well_known
194,Yes,Yes,,,Internet Relay Chat (IRC)[78],well_known
199,Yes,Yes,,,SNMP Unix Multiplexer (SMUX)[79],well_known
201,Yes,Yes,,,AppleTalk Routing Maintenance,well_known
209,Yes,Assigned,,,Quick Mail Transfer Protocol[80][self-published source],well_known
210,Yes,Yes,,,ANSI Z39.50,well_known
213,Yes,Yes,,,Internetwork Packet Exchange (IPX),well_known
218,Yes,Yes,,,Message posting protocol (MPP),well_known
220,Yes,Yes,,,"Internet Message Access Protocol (IMAP), version 3",well_known
225,Reserved,Reserved,,,,well_known
226,Reserved,Reserved,,,,well_known
227,Reserved,Reserved,,,,well_known
228,Reserved,Reserved,,,,well_known
229,Reserved,Reserved,,,,well_known
230,Reserved,Reserved,,,,well_known
231,Reserved,Reserved,,,,well_known
232,Reserved,Reserved,,,,well_known
233,Reserved,Reserved,,,,well_known
234,Reserved,Reserved,,,,well_known
235,Reserved,Reserved,,,,well_known
236,Reserved,Reserved,,,,well_known
237,Reserved,Reserved,,,,well_known
238,Reserved,Reserved,,,,well_known
239,Reserved,Reserved,,,,well_known
240,Reserved,Reserved,,,,well_known
241,Reserved,Reserved,,,,well_known
249,Reserved,Reserved,,,,well_known
250,Reserved,Reserved,,,,well_known
251,Reserved,Reserved,,,,well_known
252,Reserved,Reserved,,,,well_known
253,Reserved,Reserved,,,,well_known
254,Reserved,Reserved,,,,well_known
255,Reserved,Reserved,,,,well_known
259,Yes,Yes,,,Efficient Short Remote Operations (ESRO),well_known
262,Yes,Yes,,,Arcisdms,well_known
264,Yes,Yes,,,Border Gateway Multicast Protocol (BGMP),well_known
280,Yes,Yes,,,http-mgmt,well_known
300,Unofficial,,,,"ThinLinc Web Access, Spartan protocol [81]",well_known
308,Yes,,,,Novastor Online Backup,well_known
311,Yes,Assigned,,,macOS Server Admin[11] (officially AppleShare IP Web administration[2]),well_known
312,Unofficial,No,,,macOS Xsan administration[11],well_known
318,Yes,Yes,,,PKIX Time Stamp Protocol (TSP),well_known
319,,Yes,,,Precision Time Protocol (PTP) event messages,well_known
320,,Yes,,,Precision Time Protocol (PTP) general messages,well_known
350,Yes,Yes,,,Mapping of Airline Traffic over Internet Protocol (MATIP) type A,well_known
351,Yes,Yes,,,MATIP type B,well_known
356,Yes,Yes,,,cloanto-net-1 (used by Cloanto Amiga Explorer and VMs),well_known
